Crop,Year,Sow_Month,Vegetative_Dur,Reproductive_Dur,Maturity_Dur,Temp_C,Rainfall_mm,Humidity_%,SoilMoist_%,Vegetative_Irrig_lphw,Reproductive_Irrig_lphw,Maturity_Irrig_lphw
Chickpea,2012,October,32,31,23,22.93,212.2,55.7,19.4,4.36,2.72,1.98
Cotton,2014,June,38,80,30,34.08,576.8,65.2,23.6,6.49,3.97,3.97
Cotton,2010,August,46,70,29,28.57,366.5,77.7,24.5,6.03,3.8,3.03
Paddy,2019,July,30,63,27,29.07,739.8,68.6,29.2,8.92,6.68,5.87
Maize,2020,July,27,44,22,27.16,349.6,69.8,22.1,4.42,4.06,2.48
Groundnut,2021,June,29,52,17,26.77,394.3,80.7,21.6,6.83,5.59,3.94
Chickpea,2012,October,22,42,19,22.61,219.8,68.2,20.4,2.97,4.26,2.37
Soybean,2012,June,32,44,12,25.24,451.7,65.9,20.0,5.56,3.26,2.81
Chickpea,2013,October,24,35,21,22.82,297.3,65.0,18.3,2.42,3.01,1.75
Groundnut,2006,June,24,33,19,27.58,494.3,71.6,19.2,4.46,3.5,2.63
Groundnut,2019,June,29,45,26,28.98,351.1,75.1,16.5,6.14,3.61,4.04
Sorghum,2022,July,37,53,19,24.89,467.4,65.5,18.6,4.83,3.61,2.18
Soybean,2007,July,40,43,9,31.79,443.0,75.0,24.6,3.91,2.81,3.03
Cotton,2021,June,40,66,37,30.36,829.2,56.8,19.0,7.42,5.31,3.36
Paddy,2008,August,36,58,26,24.88,1026.6,86.9,19.1,8.1,7.76,5.33
Sorghum,2008,June,39,50,10,28.77,515.0,66.4,24.3,5.64,4.26,2.27
Sorghum,2018,July,36,49,20,27.21,338.0,78.8,31.0,4.12,3.26,2.43
Soybean,2013,July,32,39,10,31.92,339.8,71.1,25.8,5.72,3.82,2.64
Soybean,2013,June,25,47,19,25.24,514.6,69.7,16.0,4.63,4.1,2.52
Maize,2022,June,25,30,19,20.59,413.9,63.3,21.5,4.75,5.08,2.63
Groundnut,2014,June,40,56,15,29.27,655.9,68.7,30.7,5.68,3.18,2.89
Groundnut,2008,June,27,63,14,32.08,645.6,82.3,21.3,6.31,3.91,3.81
Cotton,2016,July,46,63,34,29.55,701.9,85.5,16.4,7.0,4.39,3.25
Maize,2012,June,19,41,23,26.14,424.2,64.8,28.7,3.57,5.26,2.99
Soybean,2006,July,33,44,13,29.68,386.6,77.7,16.3,4.04,3.53,2.44
Cotton,2017,June,57,67,19,29.61,660.3,76.4,17.8,6.7,6.25,4.71
Sorghum,2020,July,28,50,26,27.4,617.9,76.0,11.2,3.51,3.22,3.59
Cotton,2006,July,53,39,24,27.62,542.9,63.5,20.5,5.43,4.61,3.09
Cotton,2015,June,51,63,34,35.52,591.1,70.2,18.7,5.56,4.09,4.07
Chickpea,2014,November,21,36,19,27.62,222.9,59.9,25.2,3.35,2.1,2.01
Chickpea,2019,November,26,42,20,22.52,190.8,70.1,12.0,2.09,2.08,2.5
Maize,2021,June,29,43,18,26.45,625.9,81.0,21.8,5.21,4.73,3.25
Sorghum,2012,July,43,45,8,27.49,368.5,64.5,17.7,2.91,4.92,2.39
Soybean,2022,July,26,48,8,27.87,699.4,72.5,17.8,3.48,4.05,3.37
Cotton,2013,June,35,59,35,26.98,623.1,80.5,19.6,6.09,5.05,3.45
Paddy,2012,June,27,73,23,26.14,988.8,77.0,21.2,6.57,6.11,6.32
Chickpea,2018,October,29,28,20,23.65,189.2,72.0,22.0,2.63,2.31,1.54
Chickpea,2022,October,19,33,23,24.63,146.3,62.1,21.4,3.02,2.67,1.79
Soybean,2024,June,29,48,17,25.29,477.3,82.0,22.9,4.73,4.62,2.25
Groundnut,2024,June,29,61,26,24.27,439.0,69.0,20.4,4.37,4.63,3.3
Soybean,2016,July,30,55,13,26.24,479.7,69.5,18.8,3.19,2.99,2.44
Groundnut,2023,June,23,59,21,27.66,514.2,73.0,12.0,5.6,3.62,2.62
Paddy,2018,July,32,54,14,26.23,1252.0,78.7,30.7,9.2,7.36,5.29
Paddy,2021,July,36,70,23,25.4,996.9,73.3,26.8,8.1,6.97,5.95
Groundnut,2007,June,27,57,30,30.66,317.2,72.0,23.7,3.85,2.16,2.77
Sorghum,2011,July,40,42,29,25.46,254.8,63.4,26.1,4.31,3.73,2.63
Paddy,2021,August,40,52,21,27.16,1195.3,78.2,21.2,8.13,7.78,5.91
Chickpea,2016,October,25,34,13,20.22,164.9,68.2,15.5,3.74,1.89,2.27
Soybean,2013,June,37,43,17,31.45,385.8,76.6,21.5,5.62,3.25,2.61
Sorghum,2019,July,40,44,15,26.19,361.4,75.0,30.5,3.59,2.83,2.74
Cotton,2022,June,40,50,25,29.56,564.7,66.7,22.9,6.34,3.58,2.98
Sorghum,2017,June,26,54,25,27.19,550.3,61.9,29.5,4.21,3.59,3.08
Sorghum,2012,July,41,41,21,26.54,369.4,59.7,26.3,3.45,4.37,1.89
Groundnut,2018,June,37,38,21,26.65,344.9,73.5,24.4,5.02,4.06,3.32
Sorghum,2012,July,35,45,14,31.38,344.5,72.8,18.7,3.3,3.18,3.17
Soybean,2018,June,34,54,10,28.1,330.3,72.0,14.2,6.19,4.71,1.73
Groundnut,2011,June,26,60,21,29.04,547.7,78.3,31.0,4.18,3.94,2.12
Maize,2016,June,21,43,18,30.82,475.2,67.4,23.9,4.97,5.12,3.0
Chickpea,2015,November,28,44,16,22.43,209.0,65.7,16.2,3.55,3.17,2.31
Sorghum,2015,July,29,57,17,27.74,315.9,74.0,16.1,4.93,2.86,3.41
Paddy,2017,August,31,50,20,26.09,693.9,81.1,32.8,6.26,7.09,7.0
Paddy,2022,July,31,51,17,24.54,652.4,76.2,18.4,7.03,6.96,3.84
Cotton,2006,June,46,61,28,30.19,862.2,69.4,13.6,7.1,6.87,4.46
Soybean,2019,July,31,50,10,28.74,661.5,66.9,18.4,5.43,3.55,2.01
Maize,2024,July,21,48,20,28.57,398.2,68.9,14.2,4.55,4.18,2.66
Maize,2022,June,21,30,23,26.95,541.4,72.6,21.8,3.4,2.79,2.12
Paddy,2019,July,38,58,31,24.56,1025.3,82.7,29.9,8.99,6.67,6.04
Paddy,2023,July,33,63,29,32.69,875.3,81.0,33.3,8.97,6.93,6.42
Chickpea,2016,November,18,47,19,23.95,193.0,58.6,16.9,3.04,2.65,2.39
Groundnut,2017,June,24,46,11,28.56,423.8,72.3,21.1,3.6,3.66,3.42
Soybean,2015,June,29,34,12,25.91,558.6,73.5,22.6,4.33,4.72,2.49
Cotton,2009,June,43,75,36,28.25,888.6,73.1,31.0,6.3,4.49,3.39
Sorghum,2005,June,44,40,22,26.32,367.6,61.8,25.3,5.23,3.56,3.05
Chickpea,2007,November,19,52,15,22.91,177.1,64.7,18.4,2.8,2.16,1.98
Groundnut,2023,June,29,57,22,30.62,581.8,74.7,19.7,3.82,4.22,3.86
Maize,2011,July,29,44,12,24.29,550.1,85.5,19.7,3.45,5.82,3.76
Cotton,2016,July,52,52,33,30.15,867.3,77.9,15.5,6.59,4.26,4.83
Groundnut,2019,June,28,54,20,27.9,531.7,76.3,19.6,5.4,3.5,2.46
Soybean,2009,July,31,45,14,25.1,523.9,59.6,29.2,5.45,3.08,1.78
Sorghum,2019,July,37,60,13,25.76,272.7,80.6,25.0,3.85,2.34,2.8
Maize,2012,July,17,29,15,28.37,240.2,75.0,25.0,4.57,2.82,2.52
Chickpea,2014,October,31,35,14,25.74,272.7,76.1,15.1,3.36,3.2,1.54
Paddy,2020,August,31,49,25,29.19,991.6,86.7,32.8,8.44,6.77,4.6
Cotton,2012,July,50,61,21,25.38,532.2,72.4,24.4,4.43,5.59,3.91
Groundnut,2005,June,30,59,28,29.61,370.8,73.1,25.3,6.0,4.63,2.89
Cotton,2016,June,44,42,29,32.73,954.4,67.5,23.6,7.16,3.71,5.13
Sorghum,2009,July,31,38,19,28.16,629.7,62.5,30.4,3.28,2.66,2.62
Paddy,2007,July,35,56,26,25.41,779.7,78.3,36.9,7.12,6.8,4.26
Chickpea,2005,October,24,35,19,19.79,267.6,58.6,20.3,2.35,2.42,2.11
Paddy,2008,June,38,55,25,25.14,610.4,80.4,31.2,5.67,6.9,7.6
Cotton,2012,June,45,56,31,30.21,336.3,69.5,20.0,5.67,3.09,3.73
Paddy,2007,June,38,63,19,25.12,607.3,78.0,31.9,8.43,6.73,5.9
Soybean,2014,July,26,42,11,26.07,578.0,71.9,27.1,3.24,3.99,2.92
Paddy,2006,August,33,67,24,30.02,807.0,70.0,47.6,7.9,7.37,4.69
Cotton,2015,June,38,62,30,27.49,779.3,70.9,18.9,5.92,5.4,3.94
Cotton,2014,August,31,55,36,24.7,914.6,72.9,14.5,6.23,5.62,3.61
Groundnut,2018,June,26,70,18,28.71,665.6,73.6,24.8,4.78,3.54,3.43
Paddy,2011,July,29,57,29,27.56,1041.8,84.2,33.5,8.89,8.87,8.38
Soybean,2006,June,27,37,7,26.94,334.6,76.3,22.1,5.75,3.96,2.14
Sorghum,2013,July,38,61,18,24.77,518.8,65.9,28.8,3.6,2.65,3.74
Paddy,2020,June,41,48,21,22.5,1053.7,79.0,27.7,6.07,6.66,4.27
Sorghum,2017,June,36,55,19,23.28,465.9,75.3,16.9,4.8,2.41,2.81
Cotton,2013,July,51,66,19,29.3,459.6,71.3,19.0,8.04,3.77,4.01
Sorghum,2024,June,44,41,23,25.78,605.7,67.1,18.7,3.67,3.25,3.37
Sorghum,2008,July,32,60,26,26.38,558.9,68.1,18.3,3.25,3.44,3.36
Paddy,2014,June,38,52,27,25.42,841.1,74.1,24.1,9.53,6.28,5.69
Maize,2016,June,27,31,21,27.62,501.8,73.1,22.8,4.63,4.2,2.79
Groundnut,2021,June,26,63,17,28.68,467.2,69.6,28.7,3.9,4.42,3.12
Paddy,2018,June,25,64,27,29.5,848.9,89.9,32.2,7.1,6.68,4.56
Sorghum,2018,July,27,56,15,25.66,528.3,68.0,24.0,3.41,2.82,3.28
Soybean,2006,June,29,51,16,29.58,433.9,65.9,23.8,4.11,3.82,2.66
Cotton,2024,June,31,66,26,26.41,383.5,70.7,21.4,5.37,3.87,4.09
Sorghum,2015,June,28,45,25,27.76,457.8,64.5,16.4,5.29,3.45,2.48
Soybean,2020,June,34,46,25,27.24,284.7,73.6,22.7,6.28,4.05,2.38
Paddy,2023,July,36,45,16,31.28,920.8,78.9,24.5,9.08,6.47,3.49
Maize,2010,July,24,37,18,24.87,524.4,76.6,23.2,6.61,4.06,3.48
Cotton,2023,July,53,62,19,24.26,428.6,71.9,11.4,6.11,5.63,3.58
Chickpea,2009,October,27,42,18,23.95,142.7,63.2,16.1,3.22,1.31,1.84
Maize,2008,July,28,30,17,28.69,382.0,71.7,30.1,2.65,3.73,3.16
Paddy,2019,August,37,56,32,25.0,684.0,87.4,29.7,7.11,7.71,4.15
Paddy,2008,June,39,54,29,27.85,885.3,79.0,39.9,7.65,7.74,6.28
Groundnut,2024,June,21,44,19,28.0,415.5,79.4,13.5,5.02,3.4,4.09
Maize,2014,July,20,25,23,28.07,473.1,71.4,22.2,5.68,3.84,2.98
Groundnut,2007,June,30,51,19,28.74,444.6,69.2,20.0,4.93,4.95,2.62
Groundnut,2009,June,27,56,21,28.72,610.0,73.5,16.7,5.16,4.7,3.78
Soybean,2010,June,30,47,17,24.75,474.0,75.1,20.7,5.27,3.86,1.52
Soybean,2012,June,25,40,20,32.46,272.8,72.2,24.0,4.28,3.9,2.3
Groundnut,2011,June,33,52,22,30.97,612.9,73.1,9.7,5.64,2.94,3.48
Cotton,2014,August,45,64,28,30.42,547.2,79.0,22.7,5.33,4.55,4.31
Soybean,2010,June,32,26,17,29.47,470.0,67.2,27.9,3.39,4.6,2.95
Maize,2018,June,13,47,13,27.27,762.7,69.7,23.9,4.52,4.53,3.22
Soybean,2008,July,30,45,12,23.19,432.7,70.5,22.9,5.05,3.58,2.31
Chickpea,2017,October,18,41,20,24.8,70.5,60.0,22.5,3.32,2.86,2.58
Groundnut,2024,June,26,48,24,30.27,506.2,73.2,16.1,6.62,5.72,3.87
Paddy,2021,June,35,64,20,27.74,1084.3,76.7,22.8,7.75,5.96,5.36
Groundnut,2011,June,32,57,23,29.97,497.3,69.0,22.6,4.72,3.99,2.77
Soybean,2008,June,21,49,15,30.0,573.0,72.7,20.2,5.72,5.32,2.33
Groundnut,2018,June,35,49,17,28.23,595.3,68.6,28.7,6.04,4.63,3.02
Maize,2007,July,21,41,12,25.77,687.1,79.1,26.7,6.4,3.79,2.96
Paddy,2009,August,37,58,24,28.3,718.2,78.6,28.4,9.73,4.14,5.86
Sorghum,2020,June,30,41,21,28.45,523.8,69.3,24.7,4.91,3.67,3.33
Cotton,2024,July,44,61,24,25.25,297.6,57.7,10.9,7.02,5.23,4.03
Paddy,2008,June,33,49,25,30.21,956.0,85.3,30.0,7.8,5.48,6.58
Cotton,2006,June,50,44,37,33.22,903.1,79.3,17.3,7.47,6.02,3.42
Chickpea,2022,November,18,44,23,20.74,231.6,66.0,21.5,2.25,2.8,1.47
Sorghum,2023,July,30,54,25,29.86,558.7,72.0,23.9,3.85,4.25,2.27
Soybean,2023,June,30,51,15,27.72,556.0,63.0,29.8,4.42,4.83,2.07
Sorghum,2021,June,32,40,18,28.64,350.3,65.8,16.6,4.76,3.48,1.37
Cotton,2018,August,58,53,31,30.15,584.8,55.7,16.9,6.2,4.91,4.51
Chickpea,2023,November,25,42,28,21.25,198.5,68.9,14.5,2.96,1.89,1.24
Paddy,2017,August,31,68,33,28.35,988.2,74.9,31.4,8.2,7.02,6.73
Cotton,2016,August,45,58,33,29.41,602.0,70.1,19.3,5.39,5.38,3.77
Maize,2010,June,23,34,22,25.76,358.3,78.9,20.1,5.71,3.51,3.47
Soybean,2008,July,34,44,6,25.49,242.7,63.6,22.4,4.54,4.69,2.48
Groundnut,2023,June,25,64,28,30.83,512.6,72.5,15.0,4.49,3.74,2.41
Soybean,2020,June,29,46,16,29.59,414.3,86.4,16.5,4.21,5.09,3.09
Paddy,2017,August,34,44,12,25.95,587.3,78.9,31.2,6.83,6.47,7.59
Maize,2008,June,23,37,17,24.52,394.5,69.5,13.8,5.28,4.06,2.93
Chickpea,2021,November,25,37,26,18.88,391.6,58.8,13.7,2.82,2.61,1.85
Maize,2005,July,29,26,17,26.53,249.2,61.1,19.7,4.88,5.21,2.73
Chickpea,2022,October,16,41,14,20.82,37.6,76.6,12.1,2.78,1.6,1.67
Paddy,2024,July,28,55,21,29.38,695.8,80.9,35.7,8.21,7.41,5.88
Maize,2021,July,29,36,16,24.47,401.2,71.7,16.1,3.95,4.04,3.72
Paddy,2019,July,38,33,15,28.06,871.8,70.0,25.4,5.96,6.89,7.13
Groundnut,2015,June,26,56,19,32.2,659.5,66.1,20.0,4.4,3.62,3.67
Soybean,2017,June,20,58,17,28.07,649.9,73.5,18.0,4.36,3.33,2.25
Groundnut,2005,June,23,47,24,29.66,464.7,68.9,19.0,3.68,4.2,3.77
Soybean,2021,June,32,49,11,27.76,434.6,76.3,19.5,4.11,3.89,2.29
Chickpea,2010,November,23,36,20,19.16,164.5,63.7,23.9,3.11,2.7,2.02
Groundnut,2008,June,47,62,9,29.44,639.9,66.7,21.5,4.72,3.42,4.0
Chickpea,2024,October,32,47,15,21.43,31.7,66.5,15.9,2.99,2.09,1.67
Soybean,2020,July,30,36,8,25.13,549.3,74.4,22.5,5.29,4.42,2.6
Cotton,2019,August,48,62,23,28.34,686.3,74.9,16.3,6.97,4.57,4.27
Groundnut,2019,June,30,47,18,24.91,476.7,80.2,11.5,4.42,3.73,1.92
Paddy,2010,June,51,58,27,25.8,1037.6,77.0,22.6,7.59,7.4,7.38
Sorghum,2019,July,43,44,18,26.55,470.6,73.2,22.9,2.8,4.28,2.34
Sorghum,2018,July,38,44,14,25.94,474.6,59.3,24.5,4.1,1.82,1.96
Maize,2015,June,23,41,12,24.35,597.4,76.0,23.3,4.87,3.1,2.78
Chickpea,2011,October,23,47,27,18.34,347.0,76.7,15.5,2.45,2.76,1.74
Cotton,2013,August,49,76,19,28.62,588.5,70.8,19.1,5.91,5.33,3.84
Sorghum,2020,July,38,60,15,26.23,612.3,67.7,20.6,3.8,3.59,3.4
Cotton,2009,July,38,57,36,31.26,439.9,78.2,18.3,4.93,4.97,2.78
Paddy,2024,June,23,52,35,25.82,1357.9,78.6,30.0,6.74,7.62,5.71
Soybean,2014,July,18,41,19,26.43,555.2,73.1,13.5,4.17,4.05,2.11
Sorghum,2022,July,33,49,28,25.96,441.7,74.9,19.6,3.78,2.59,3.17
Soybean,2007,July,33,42,23,27.71,558.6,68.7,17.9,5.11,4.64,2.0
Cotton,2017,June,49,50,42,26.49,749.9,80.6,20.5,5.23,4.33,3.79
Maize,2015,July,19,42,21,26.83,452.8,66.6,15.2,4.65,4.69,3.66
Cotton,2021,June,45,46,37,28.37,496.5,68.6,18.1,7.24,3.44,3.94
Soybean,2017,June,27,40,10,28.62,337.3,71.7,13.8,5.37,3.37,2.14
Groundnut,2010,June,25,68,26,29.11,464.8,84.4,23.5,4.97,3.65,3.69
Soybean,2021,June,25,45,17,27.88,392.5,76.2,21.6,2.2,3.11,3.2
Soybean,2017,July,37,38,16,27.41,581.9,69.2,23.8,3.07,3.79,3.36
Maize,2023,June,26,40,14,27.82,583.7,72.5,15.6,3.68,3.44,3.76
Maize,2023,July,39,47,18,30.15,428.3,63.2,26.5,3.49,3.52,3.89
Paddy,2014,June,31,55,13,24.12,1234.0,79.6,26.3,5.96,6.94,6.89
Paddy,2007,June,32,61,22,25.07,901.9,90.2,23.2,9.49,6.99,6.01
Chickpea,2018,November,18,45,14,22.46,70.5,75.5,16.9,3.67,3.56,1.48
Soybean,2023,July,28,39,15,24.39,675.0,72.4,28.8,5.21,3.75,2.72
Maize,2009,July,18,36,22,24.93,492.6,65.7,17.6,3.99,4.76,3.01
Maize,2009,June,25,38,20,25.66,408.0,65.6,22.7,5.56,3.14,2.92
Maize,2024,June,20,29,20,28.49,522.3,60.2,15.0,4.86,3.81,2.81
Groundnut,2021,June,28,51,20,31.2,417.2,76.3,21.4,3.6,3.58,3.21
Cotton,2014,August,47,76,27,32.12,596.0,70.4,19.1,6.94,6.78,4.68
Maize,2009,July,22,40,18,27.6,607.9,73.6,12.8,5.25,3.19,2.81
Maize,2008,July,23,46,15,26.42,400.2,83.1,16.9,3.16,4.48,2.8
Paddy,2010,June,35,44,22,29.52,635.4,83.1,36.6,9.46,8.1,7.23
Soybean,2008,July,28,34,21,25.19,560.8,74.6,23.9,4.8,3.12,3.35
Cotton,2011,July,34,58,31,30.04,608.0,82.5,27.8,5.18,5.85,5.81
Cotton,2011,August,44,46,24,30.98,644.2,70.5,24.6,7.17,6.05,4.59
Maize,2022,July,30,39,22,29.11,507.2,63.8,26.4,4.85,3.12,3.62
Cotton,2007,August,37,66,29,30.05,650.7,76.4,25.4,6.39,6.06,3.98
Soybean,2005,June,30,13,12,28.34,392.1,73.1,31.5,5.64,4.37,2.47
Paddy,2008,June,33,49,36,25.25,445.0,76.1,31.3,8.04,7.18,4.85
Soybean,2010,July,26,52,11,25.52,408.2,73.9,21.7,4.59,3.72,2.47
Maize,2013,June,20,35,20,28.05,435.6,69.2,24.7,3.76,5.3,3.05
Sorghum,2018,July,40,38,18,26.98,418.2,67.5,28.7,4.17,3.18,3.07
Maize,2016,June,33,34,16,30.07,437.3,71.0,28.1,3.81,3.57,2.65
Groundnut,2024,June,28,49,21,29.72,520.1,75.1,17.7,5.22,2.75,3.79
Paddy,2008,July,35,50,21,26.11,1041.2,79.6,26.8,7.35,7.31,8.47
Paddy,2016,June,35,46,28,24.89,1098.4,82.0,32.1,8.91,8.17,5.98
Soybean,2014,June,25,35,15,26.56,564.2,74.7,23.1,6.63,4.38,1.87
Soybean,2011,July,24,42,15,26.09,610.1,67.3,20.7,4.16,4.12,2.82
Cotton,2007,August,42,61,43,25.02,780.9,69.8,23.5,5.65,6.47,3.35
Chickpea,2018,October,16,41,15,23.38,196.7,52.9,17.7,2.73,3.19,1.2
Paddy,2014,July,45,58,24,29.09,755.7,72.2,29.1,8.15,7.53,4.67
Sorghum,2020,June,27,54,20,25.62,409.8,79.1,28.6,4.54,2.56,3.2
Chickpea,2020,November,28,41,16,24.62,195.0,67.3,18.6,2.82,2.09,2.22
Cotton,2014,August,35,68,37,28.14,522.1,56.3,19.7,6.38,5.3,4.22
Maize,2017,July,22,40,18,28.46,628.9,61.8,16.9,6.01,4.13,2.32
Paddy,2010,August,34,64,22,27.32,838.0,81.5,34.9,8.27,7.5,7.02
Cotton,2016,June,43,52,31,37.5,404.4,77.0,17.3,7.45,5.33,3.54
Groundnut,2013,June,28,60,28,30.61,471.1,76.4,29.0,5.62,4.0,2.35
Soybean,2017,July,22,44,20,26.96,467.7,78.6,26.9,5.25,3.62,2.83
Groundnut,2008,June,37,54,17,31.46,745.0,84.6,19.1,4.95,3.28,3.27
Groundnut,2015,June,24,50,23,29.78,320.8,81.9,15.6,4.34,3.11,2.8
Soybean,2024,June,23,40,20,26.85,614.0,64.1,17.2,4.98,2.79,1.89
Sorghum,2022,June,23,50,30,26.44,496.5,75.1,26.9,3.36,3.55,2.06
Sorghum,2015,July,38,48,25,31.58,483.0,74.0,15.9,3.82,3.86,2.53
Groundnut,2008,June,28,47,28,27.09,604.8,71.5,24.1,4.63,3.82,3.44
Groundnut,2022,June,33,62,20,31.15,545.6,73.2,25.2,5.3,4.29,2.61
Soybean,2005,July,29,48,18,25.61,433.0,67.8,18.8,4.82,4.22,3.03
Maize,2011,July,24,38,11,25.65,393.3,70.6,19.6,4.92,2.51,2.42
Maize,2010,June,26,43,11,30.3,585.1,66.0,23.5,3.03,4.56,2.49
Sorghum,2019,July,35,55,15,26.59,488.3,66.0,14.7,6.08,3.18,2.38
Soybean,2022,July,20,41,22,28.7,684.5,68.2,19.7,5.27,4.24,2.45
Maize,2015,July,28,41,15,24.19,637.6,73.4,21.1,5.3,3.3,3.65
Paddy,2024,June,34,59,26,24.7,848.8,69.5,36.6,8.38,7.74,7.16
Cotton,2019,August,50,54,32,20.07,700.1,61.5,18.4,6.75,3.62,4.87
Cotton,2020,July,46,62,32,32.04,761.2,70.0,13.1,6.08,4.86,4.44
Cotton,2011,June,48,64,39,28.45,323.3,78.4,21.0,6.28,5.69,5.01
Groundnut,2014,June,29,64,22,27.69,494.3,77.1,17.5,6.0,4.23,3.43
Soybean,2016,July,37,49,18,26.77,468.2,74.7,8.5,4.14,2.53,2.61
Sorghum,2018,July,36,48,22,26.47,634.3,59.6,22.8,3.89,4.37,2.66
Chickpea,2009,November,23,41,14,25.4,294.9,52.6,10.1,3.84,2.53,1.28
Groundnut,2022,June,27,52,23,30.89,533.8,73.1,18.6,6.47,3.76,3.51
Sorghum,2009,June,34,44,17,30.24,268.8,47.0,29.4,4.42,3.61,2.02
Sorghum,2007,June,28,52,19,24.94,331.8,77.6,19.0,5.01,4.06,2.43
Groundnut,2009,June,32,57,24,29.35,483.5,80.6,24.7,4.62,3.96,3.98
Soybean,2021,July,26,44,18,28.91,485.8,69.4,32.5,5.42,5.01,2.85
Soybean,2023,July,29,39,6,27.77,649.4,58.8,22.8,3.69,4.28,2.69
Paddy,2023,June,39,63,24,24.62,1096.4,74.2,32.8,9.87,5.34,6.82
Soybean,2016,June,34,56,6,24.96,516.6,80.9,17.8,4.68,3.04,2.46
Chickpea,2013,October,22,43,21,24.52,163.9,69.8,24.1,3.56,1.85,2.44
Paddy,2005,August,36,48,25,27.71,747.1,75.6,30.2,8.27,5.74,5.5
Cotton,2022,June,45,64,29,28.41,790.1,69.4,13.9,4.9,5.22,6.4
Sorghum,2008,June,30,45,22,29.17,524.8,61.9,24.8,3.52,4.63,2.24
Groundnut,2014,June,27,55,14,30.27,642.5,69.6,17.6,6.27,4.22,3.07
Paddy,2011,August,34,62,25,27.61,1196.1,75.5,19.0,7.8,6.44,4.72
Paddy,2005,July,40,57,26,24.87,1046.0,68.9,26.5,8.02,8.66,6.59
Maize,2021,June,33,43,19,25.25,589.3,76.8,17.2,5.62,3.51,2.48
Soybean,2006,June,26,43,11,30.89,570.9,68.3,17.8,4.05,3.17,1.9
Chickpea,2015,October,23,46,18,22.55,251.3,58.3,12.6,3.17,2.13,1.51
Sorghum,2013,July,38,54,19,32.39,583.1,78.2,26.7,4.2,4.01,2.42
Groundnut,2011,June,34,51,17,26.37,630.7,84.1,27.8,6.01,4.84,3.74
Soybean,2021,July,26,31,15,27.11,414.7,72.4,26.3,5.39,2.73,2.32
Cotton,2021,June,53,67,31,31.35,770.4,64.7,18.1,5.96,3.88,4.58
Maize,2006,June,30,33,24,27.4,662.1,66.0,21.8,4.57,3.31,4.18
Sorghum,2010,July,29,53,25,28.92,641.5,67.0,22.7,4.25,2.66,2.56
Cotton,2018,July,47,71,44,29.2,682.9,62.2,17.7,5.92,5.19,2.3
Sorghum,2010,June,35,62,17,26.21,498.0,68.1,17.9,3.88,2.22,2.78
Paddy,2006,July,46,52,20,26.43,1011.3,82.5,28.1,6.27,5.79,6.26
Maize,2005,June,21,37,15,21.34,529.2,64.8,27.8,4.25,2.92,3.63
Cotton,2014,August,38,64,28,31.41,585.8,73.1,23.1,6.63,4.33,5.94
Soybean,2009,June,27,43,14,29.11,477.7,70.9,30.7,3.52,3.04,3.43
Cotton,2006,August,52,62,39,32.88,738.3,75.5,31.5,7.08,4.24,4.2
Paddy,2020,June,27,51,26,29.62,1108.3,70.0,46.0,9.5,7.04,7.21
Groundnut,2006,June,25,61,10,28.39,670.1,71.7,18.9,4.66,3.94,2.59
Groundnut,2014,June,37,45,21,30.69,439.1,66.7,18.1,4.84,4.84,3.11
Chickpea,2006,October,30,40,27,23.92,217.9,58.8,17.6,3.56,1.75,1.84
Sorghum,2020,June,19,54,21,29.0,493.1,54.3,20.1,4.12,3.09,3.14
Maize,2020,June,19,45,21,28.09,340.1,59.1,19.0,5.18,5.57,2.38
Groundnut,2023,June,29,49,19,25.14,684.8,74.1,25.6,4.99,4.25,3.88
Soybean,2011,June,32,46,14,30.41,638.0,63.3,19.8,4.53,3.86,2.78
Soybean,2016,June,24,26,21,25.08,542.5,73.2,13.6,4.02,3.01,2.9
Groundnut,2019,June,34,53,15,29.38,641.8,66.6,31.6,4.98,4.0,4.16
Paddy,2012,July,29,46,22,25.09,778.4,77.5,29.8,7.26,7.5,5.83
Cotton,2010,August,52,63,28,26.64,583.0,67.2,25.9,7.97,5.93,3.41
Paddy,2014,June,44,51,27,30.29,893.2,78.1,40.1,7.65,8.07,5.93
Maize,2007,June,22,50,22,29.7,260.6,74.0,24.6,4.06,2.8,2.91
Cotton,2023,June,42,78,28,30.65,351.3,62.3,24.7,7.67,5.2,3.76
Soybean,2021,June,27,47,16,19.53,395.7,69.0,16.9,5.27,2.75,3.03
Soybean,2011,July,29,37,17,26.48,462.5,79.7,13.4,4.34,3.72,2.57
Maize,2024,July,29,34,15,26.03,386.5,64.5,20.6,3.1,3.79,3.14
Cotton,2008,July,46,64,31,35.74,554.9,58.5,21.8,5.83,5.5,4.71
Sorghum,2018,June,34,49,15,27.13,477.4,70.0,35.3,3.43,4.55,2.26
Groundnut,2024,June,29,62,22,24.29,639.4,75.6,18.2,5.08,4.44,3.55
Maize,2019,June,30,46,22,28.09,529.3,60.5,14.4,3.85,4.66,2.74
Soybean,2012,June,23,50,17,24.76,388.9,76.8,32.2,4.86,4.6,2.37
Sorghum,2019,June,46,42,8,28.79,612.1,69.5,27.0,4.8,3.68,3.13
Groundnut,2024,June,32,39,20,25.85,515.8,71.5,26.2,5.42,4.48,3.09
Groundnut,2018,June,35,42,15,31.57,472.1,63.3,28.3,6.17,4.67,3.26
Maize,2013,July,30,34,21,21.98,440.4,65.1,23.3,4.3,4.69,2.79
